Phrase,SoundsLike,IPA,DisplayAs
Amazon-E.-C.-two,am-ah-zon-ee-cee-too,,Amazon EC2
Amazon-S.-three,am-ah-zon-ess-three,,Amazon S3
Amazon-elasticashe,am-ah-zon-ee-lass-tuh-cash,,Amazon ElastiCache
Amazon-sagemaker,,s eɪ ʤ m eɪ k ɝ,Amazon SageMaker
A.-W.-S.-iam,ay-dub-el-you-ess-eye-am,,AWS IAM
A.-W.-S.-I.-o.-T.,ay-dub-el-you-ess-eye-oh-tee,,AWS IoT
A.-W.-S.-W.-A.-F.,,,AWS WAF
C.-plus-plus,see-plus-plus,,C++
nice-d.-c.-v.,,n aɪ s d i s i v i,NICE DCV
w.-w.-w.-dot-amazon-dot-com,,,www.amazon.com
Dot-net,,d ɔ t n ɛ t,.NET
